label_raw,text,label_ocean,key,pA,pB,pC,pD,pE,chosen_trait
Adventurousness,Try to do too difficult things,O,1,0.0032176971,0.0049057007,0.006500244,0.10491949,0.87841845,a conscientious
Agreeableness,Try to forgive and forget,A,1,0.0018129349,0.0027637482,0.0051651,0.078308105,0.91015655,a conscientious
Intellectual Openness,Want to increase your knowledge,O,1,0.21960461,0.35107428,0.121276855,0.15820318,0.14636236,a conscientious
Gregariousness,Warm up quickly to others,E,1,0.003917694,0.0060653687,0.012062073,0.12963873,0.8457035,a conscientious
Extraversion,Would describe your experiences as somewhat dull,E,-1,0.002292633,0.0019931793,0.0016260147,0.023162842,0.9697271,a conscientious
Adventurousness,Would like to live for awhile in a different country,O,1,0.011367798,0.03967285,0.07299805,0.24304205,0.6303712,a conscientious
Adventurousness,Would never go hang-gliding or bungee-jumping,O,-1,0.049224854,0.019882202,0.014778137,0.055786133,0.8588869,a conscientious
Conscientiousness,Act wild and crazy,C,-1,0.0002875328,0.00017166138,0.00022745132,0.0034217834,0.99414194,a conscientious
Agreeableness,Are concerned about others,A,1,0.0020828247,0.0042419434,0.0074424744,0.13610846,0.8466802,a conscientious
Intellect,Are not interested in abstract ideas,O,-1,0.0040664673,0.0028381348,0.0035324097,0.023757935,0.96435577,a conscientious
Agreeableness,Are not interested in other people's problems,A,-1,0.007843018,0.006603241,0.006401062,0.041748047,0.93505895,a conscientious
Extraversion,Are open about your feelings,E,1,0.0008430481,0.00075006485,0.0016641617,0.048614502,0.94677776,a conscientious
Intellect,Avoid difficult reading material,O,-1,0.0035915375,0.0035915375,0.0031204224,0.022338867,0.9648444,a conscientious
Conscientiousness,Believe laws should be strictly enforced,C,1,0.013465881,0.02255249,0.08380127,0.20739752,0.6694339,a conscientious
Conscientiousness,Break rules,C,-1,0.00066900253,0.0006585121,0.0008864403,0.016082764,0.97949374,a conscientious
Intellect,Carry the conversation to a higher level,O,1,0.006465912,0.039001465,0.042144775,0.0995484,0.8081062,a conscientious
Conscientiousness,Do crazy things,C,-1,0.000500679,0.0005373955,0.00075769424,0.009674072,0.9868175,a conscientious
Conscientiousness,Do things by the book,C,1,0.03262329,0.049713135,0.052124023,0.36181653,0.5024415,a conscientious
Conscientiousness,Do things in a half-way manner,C,-1,0.0013847351,0.0011844635,0.0010786057,0.02960211,0.9648449,a conscientious
Extraversion,Don't talk a lot,E,-1,0.004699707,0.0044136047,0.0054092407,0.030639648,0.9531253,a conscientious
Agreeableness,Feel others' emotions,A,1,0.0021972656,0.0072021484,0.019577026,0.05239874,0.91455156,a conscientious
Agreeableness,Find fault with everything,A,-1,0.0010433197,0.0010843277,0.0010433197,0.008140564,0.98632926,a conscientious
Intellect,Have a rich vocabulary,O,1,0.0046958923,0.012565613,0.027877808,0.11199957,0.8403323,a conscientious
Agreeableness,Have a soft heart,A,1,0.000647068,0.00083112717,0.0018730164,0.040039062,0.9550785,a conscientious
Extraversion,Have difficulty expressing your feelings,E,-1,0.0050735474,0.0034885406,0.0028018951,0.01914978,0.96728593,a conscientious
Intellect,Have difficulty understanding abstract ideas,O,-1,0.0028133392,0.0022087097,0.002090454,0.019836426,0.9707037,a conscientious
Intellect,Have excellent ideas,O,1,0.002632141,0.010093689,0.028305054,0.14147955,0.8144535,a conscientious
Extraversion,Hold back your opinions,E,-1,0.0028743744,0.0029640198,0.0036888123,0.042236328,0.94628966,a conscientious
Agreeableness,Insult people,A,-1,0.0006790161,0.00081920624,0.0010194778,0.0070762634,0.98681915,a conscientious
Conscientiousness,Jump into things without thinking,C,-1,0.0009775162,0.0006828308,0.0008764267,0.018157959,0.9765642,a conscientious
Conscientiousness,Like order,C,1,0.3186038,0.41528338,0.043792725,0.18151873,0.038024902,a conscientious
Extraversion,Make friends easily,E,1,0.00066137314,0.0010404587,0.0027198792,0.055511475,0.9389652,a conscientious
Agreeableness,Make people feel at ease,A,1,0.0018949509,0.0052719116,0.010650635,0.064208984,0.9150395,a conscientious
Extraversion,Never at a loss for words,E,1,0.0022907257,0.003332138,0.005493164,0.048217773,0.9384769,a conscientious
Conscientiousness,Pay attention to details,C,1,0.47021568,0.33862323,0.0519104,0.1065675,0.027786255,a conscientious
Agreeableness,Put people under pressure,A,-1,0.0029296875,0.0060577393,0.007423401,0.08105475,0.8994145,a conscientious
Intellect,Quick to understand things,O,1,0.002527237,0.0053482056,0.013450623,0.11798102,0.85839874,a conscientious
Extraversion,Speak softly,E,-1,0.0011119843,0.0017080307,0.0026454926,0.020492554,0.97168016,a conscientious
Agreeableness,Sympathize with others' feelings,A,1,0.0024776459,0.005847931,0.018585205,0.12902838,0.841309,a conscientious
Agreeableness,Take advantage of others,A,-1,0.0004761219,0.00038862228,0.00046515465,0.0051193237,0.9907247,a conscientious
Extraversion,Take charge,E,1,0.1748048,0.25048834,0.09210205,0.2543947,0.22448742,a conscientious
Extraversion,Talk to a lot of different people at parties,E,1,0.0029277802,0.005554199,0.010215759,0.08691412,0.89160204,a conscientious
Intellect,Try to avoid complex people,O,-1,0.0033893585,0.0043525696,0.0050086975,0.030685425,0.9545903,a conscientious
Conscientiousness,Try to follow the rules,C,1,0.1531983,0.22998053,0.12902832,0.36181659,0.12310797,a conscientious
Intellect,Will not probe deeply into a subject,O,-1,0.02607727,0.018203735,0.012512207,0.16748053,0.773926,a conscientious
Conscientiousness,Accomplish your work on time,C,1,0.7983419,0.15722662,0.010368347,0.027313232,0.0026416779,a conscientious
Morality,Act at the expense of others,A,-1,0.00085926056,0.00070667267,0.00094366074,0.0075416565,0.98730606,a conscientious
Friendliness,Act comfortably with others,E,1,0.002292633,0.004085541,0.0066337585,0.12915045,0.85546917,a conscientious
Friendliness,Are a very private person,E,-1,0.0010757446,0.0013809204,0.0024604797,0.015808105,0.97753954,a conscientious
Assertiveness,Are always busy,E,1,0.008407593,0.018356323,0.034301758,0.20361334,0.7333987,a conscientious
Conscientiousness,Are careful to avoid making mistakes,C,1,0.118896544,0.15026855,0.113464355,0.43481463,0.17846686,a conscientious
Sympathy,Are concerned about others,A,1,0.0020389557,0.004119873,0.007232666,0.1342774,0.84912163,a conscientious
Sympathy,Are deeply moved by others' misfortunes,A,1,0.0006260872,0.0009326935,0.002784729,0.017333984,0.9760749,a conscientious
Cautiousness,Are easily talked into doing silly things,C,-1,0.00053596497,0.0003657341,0.0005707741,0.012397766,0.98486435,a conscientious
Friendliness,Are hard to get to know,E,-1,0.00642395,0.0054092407,0.00484848,0.04321289,0.93847686,a conscientious
Assertiveness,Are not highly motivated to succeed,E,-1,0.0015544891,0.00075769424,0.0007634163,0.007896423,0.9863296,a conscientious
Conscientiousness,Are often late to work,C,-1,0.000831604,0.0007753372,0.0009279251,0.0090789795,0.98584193,a conscientious
Friendliness,Are open about your feelings,E,1,0.0008559227,0.0007610321,0.0016889572,0.049346924,0.94580126,a conscientious
Gregariousness,Are quiet around strangers,E,-1,0.0035362244,0.0046844482,0.006816864,0.047302246,0.93554723,a conscientious
Dutifulness,Appreciate good manners,C,1,0.032318115,0.12780762,0.22436523,0.15905768,0.45312518,a conscientious
Assertiveness,Automatically take charge,E,1,0.0030384064,0.008003235,0.016952515,0.2490235,0.7207033,a conscientious
Friendliness,Avoid contacts with others,E,-1,0.0015239716,0.0016870499,0.0011777878,0.009941101,0.9824234,a conscientious
Dutifulness,Behave properly,C,1,0.059753418,0.13891602,0.22192383,0.20532233,0.3718263,a conscientious
Imagination,Believe in the importance of art,O,1,0.002735138,0.008430481,0.026367188,0.11273199,0.8461918,a conscientious
Sympathy,Believe people should fend for themselves,A,-1,0.003129959,0.002401352,0.004211426,0.034729004,0.9536136,a conscientious
Gregariousness,Bottle up your feelings,E,-1,0.004245758,0.0038070679,0.0034656525,0.03967285,0.9462896,a conscientious
Morality,Break rules,A,-1,0.00066423416,0.00065374374,0.00087976456,0.015838623,0.97998196,a conscientious
Assertiveness,Can easily push yourself forward,E,1,0.05441284,0.13684082,0.059753418,0.2763673,0.46997088,a conscientious
Introspection/Private Self-Consciousness,Can't stand being alone,N,-1,0.0019664764,0.0022640228,0.002729416,0.018661499,0.97168016,a conscientious
Dutifulness,Check over your work,C,1,0.83545136,0.12030035,0.004890442,0.034484863,0.0019760132,a conscientious
Assertiveness,Come up with a solution right away,E,1,0.0015144348,0.0034122467,0.0072250366,0.16442877,0.8222658,a conscientious
Cooperation,Comment loudly about others,A,-1,0.0005531311,0.00074386597,0.0013580322,0.008926392,0.98437726,a conscientious
Sympathy,Demand a lot from others,A,-1,0.003364563,0.005378723,0.009735107,0.14306647,0.8364261,a conscientious
Intellect,Dislike learning,O,-1,0.0028820038,0.0020427704,0.0018177032,0.011222839,0.979005,a conscientious
Orderliness,Dislike routine,C,-1,0.005317688,0.0035438538,0.0022182465,0.049682617,0.93750054,a conscientious
Dutifulness,Disregard rules,C,-1,0.0007352829,0.0005464554,0.0005464554,0.0075416565,0.987795,a conscientious
Assertiveness,Do a lot in your spare time,E,1,0.005870819,0.009986877,0.019561768,0.16894537,0.7934574,a conscientious
Cautiousness,Do crazy things,C,-1,0.0004968643,0.00052928925,0.00074625015,0.009529114,0.9868175,a conscientious
Cooperation,Do dangerous things,A,-1,0.0004775524,0.0006227493,0.0008649826,0.009979248,0.98632914,a conscientious
Dutifulness,Do improper things,C,-1,0.0020160675,0.0015459061,0.0015220642,0.01840216,0.9736349,a conscientious
Imagination,Do not enjoy going to art museums,O,-1,0.0060310364,0.0069389343,0.013374329,0.03414917,0.9379885,a conscientious
Imagination,Do not like art,O,-1,0.0030937195,0.0026054382,0.0042304993,0.015472412,0.9721684,a conscientious
Imagination,Do not like poetry,O,-1,0.0033607483,0.0036334991,0.009422302,0.020584106,0.9609378,a conscientious
Conscientiousness,Do not plan ahead,C,-1,0.0044021606,0.0030727386,0.001709938,0.038604796,0.95019627,a conscientious
Dutifulness,Do the opposite of what is asked,C,-1,0.0049934387,0.0018815994,0.0013656616,0.007045746,0.98193544,a conscientious
Conscientiousness,Do things according to a plan,C,1,0.7475613,0.22802752,0.0028266907,0.017578125,0.0014095306,a conscientious
Introspection/Private Self-Consciousness,Do things at your own pace,N,1,0.009506226,0.01449585,0.020126343,0.2778321,0.676758,a conscientious
Orderliness,Do things by the book,C,1,0.033081055,0.050445557,0.05203247,0.36132824,0.50146496,a conscientious
Morality,Don't care about rules,A,-1,0.00090646744,0.00051641464,0.0006580353,0.009521484,0.9863301,a conscientious
Sympathy,Don't fall for sob stories,A,-1,0.009094238,0.010635376,0.016464233,0.10406494,0.85791034,a conscientious
Gregariousness,Don't like to draw attention to yourself,E,-1,0.006225586,0.005847931,0.008506775,0.053771973,0.92382836,a conscientious
Introspection/Private Self-Consciousness,Don't like to ponder over things,N,-1,0.00856781,0.0060768127,0.0068855286,0.10278326,0.87402374,a conscientious
Introspection/Private Self-Consciousness,Don't mind eating alone,N,1,0.010803223,0.0077819824,0.009689331,0.097839355,0.87207055,a conscientious
Gregariousness,Don't talk a lot,E,-1,0.0047683716,0.0044822693,0.005405426,0.031097412,0.9526371,a conscientious
Dutifulness,Don't think laws apply to me,C,-1,0.0008907318,0.00047302246,0.00049972534,0.003036499,0.99219024,a conscientious
Cooperation,Enjoy being reckless,A,-1,0.0002963543,0.00017416477,0.0002553463,0.0044555664,0.99267733,a conscientious
Introspection/Private Self-Consciousness,Enjoy contemplation,N,1,0.0009860992,0.0018424988,0.003780365,0.05218506,0.93945336,a conscientious
Cooperation,Enjoy crude jokes,A,-1,0.00044560432,0.000623703,0.0015554428,0.008277893,0.98730564,a conscientious
Introspection/Private Self-Consciousness,Enjoy your privacy,N,1,0.0023860931,0.0041885376,0.008728027,0.07904053,0.90429705,a conscientious
Introspection/Private Self-Consciousness,Enjoy spending time by yourself,N,1,0.0021972656,0.0028209686,0.0051879883,0.073913574,0.9145511,a conscientious
Intellect,Enjoy thinking about things,O,1,0.00308609,0.006137848,0.012786865,0.105407774,0.8691411,a conscientious
Sympathy,Feel sympathy for those who are worse off than yourself,A,1,0.024093628,0.047180176,0.07659912,0.16723639,0.6826174,a conscientious
Orderliness,Follow a schedule,C,1,0.8051772,0.17687994,0.001288414,0.013641357,0.00071144104,a conscientious
Dutifulness,Follow directions,C,1,0.59472775,0.27246106,0.02961731,0.08050543,0.018829346,a conscientious
Introspection/Private Self-Consciousness,Have a point of view all your own,N,1,0.027664185,0.07635498,0.08520508,0.19812018,0.6103518,a conscientious
Imagination,Have a vivid imagination,O,1,0.0005669594,0.00097227097,0.0029945374,0.02319336,0.97070354,a conscientious
Cooperation,Impose your will on others,A,-1,0.0008416176,0.00096845627,0.0012931824,0.012954712,0.9824224,a conscientious
Cautiousness,Jump into things without thinking,C,-1,0.0009851456,0.000682354,0.00086927414,0.018447936,0.97607595,a conscientious
Gregariousness,Keep in the background,E,-1,0.0023479462,0.002538681,0.002878189,0.042938232,0.94775426,a conscientious
Conscientiousness,Keep your checkbook balanced,C,1,0.09265137,0.17590332,0.1328125,0.1931153,0.40258807,a conscientious
Gregariousness,Keep your thoughts to yourself,E,-1,0.0056381226,0.0061912537,0.007587433,0.074279785,0.9047854,a conscientious
Dutifulness,Keep yourself well-groomed,C,1,0.03781128,0.1427002,0.17224121,0.21765143,0.42626965,a conscientious
Friendliness,Keep others at a distance,E,-1,0.003004074,0.003566742,0.003004074,0.02986145,0.9584965,a conscientious
Assertiveness,Know what you want,E,1,0.3278811,0.2893067,0.07788086,0.15734869,0.14318854,a conscientious
Cautiousness,Laugh at the slightest provocation,C,-1,0.0005283356,0.00065755844,0.0010032654,0.009819031,0.98584056,a conscientious
Conscientiousness,Leave your work undone,C,-1,0.0036792755,0.0022830963,0.0013742447,0.032287598,0.9580088,a conscientious
Morality,Like harmony in your life,A,1,0.011077881,0.036895752,0.072265625,0.24438483,0.6337892,a conscientious
Cautiousness,Like to act on a whim,C,-1,0.00038409233,0.00027656555,0.00038719177,0.010627747,0.9868172,a conscientious
Sympathy,Like to do things for others,A,1,0.002565384,0.003704071,0.008888245,0.1306153,0.8515629,a conscientious
Cautiousness,Like to laugh out loud,C,-1,0.00090932846,0.0020179749,0.0072669983,0.036315918,0.9516605,a conscientious
Conscientiousness,Like to plan ahead,C,1,0.81445456,0.16540533,0.0023593903,0.015144348,0.0008029938,a conscientious
Sympathy,Listen to your brain rather than your heart,A,-1,0.004585266,0.0050354004,0.0074424744,0.08001709,0.9013675,a conscientious
Cooperation,Listen to your conscience,A,1,0.05795288,0.13684082,0.21191406,0.15502936,0.43481463,a conscientious
Introspection/Private Self-Consciousness,Live in a world of your own,N,1,0.0031280518,0.004016876,0.0044822693,0.03363037,0.95263714,a conscientious
Sympathy,Look down on any weakness,A,-1,0.0059814453,0.010498047,0.01348114,0.1340332,0.83398455,a conscientious
Cooperation,Love a good fight,A,-1,0.0003681183,0.0007381439,0.0014009476,0.011451721,0.9838873,a conscientious
Dutifulness,Make rash decisions,C,-1,0.00073957443,0.00051641464,0.00060367584,0.009819031,0.98633,a conscientious
Imagination,Need a creative outlet,O,1,0.003030777,0.0060272217,0.013793945,0.10852051,0.86718774,a conscientious
Assertiveness,Need a lot of time to do things,E,-1,0.0019359589,0.0021266937,0.002565384,0.049926758,0.94189507,a conscientious
Conscientiousness,Neglect your duties,C,-1,0.0012407303,0.000770092,0.0006957054,0.0061531067,0.98779607,a conscientious
Cautiousness,Never spend more than you can afford,C,1,0.36547875,0.23596197,0.101501465,0.16479498,0.12829596,a conscientious
Cautiousness,Never splurge,C,1,0.016433716,0.012794495,0.010444641,0.2268067,0.7319337,a conscientious
Conscientiousness,Often forget to put things back in their proper place,C,-1,0.004146576,0.003358841,0.0023078918,0.048980772,0.93847734,a conscientious
Cautiousness,Often make last-minute plans,C,-1,0.0014505386,0.0013313293,0.0017499924,0.058868468,0.9350591,a conscientious
Morality,Only talk about your own interests,A,-1,0.0017900467,0.0032920837,0.007774353,0.04269409,0.9418952,a conscientious
Morality,Overestimate your achievements,A,-1,0.0019483566,0.00187397,0.0023326874,0.03591925,0.9555675,a conscientious
Dutifulness,Pay no attention to your appearance,C,-1,0.0033035278,0.002117157,0.0019893646,0.015281677,0.97509825,a conscientious
Cooperation,Play tricks on others,A,-1,0.00065755844,0.0010185242,0.0017461777,0.016311646,0.9780282,a conscientious
Introspection/Private Self-Consciousness,Prefer to be alone,N,1,0.0013198853,0.0022449493,0.003370285,0.026931763,0.964356,a conscientious
Imagination,Prefer variety to routine,O,1,0.0010766983,0.0010433197,0.001748085,0.089660645,0.9052737,a conscientious
Cautiousness,Purchase only practical things,C,1,0.005508423,0.012413025,0.018936157,0.16870123,0.79248065,a conscientious
Conscientiousness,Put off unpleasant tasks,C,-1,0.0032424927,0.0030460358,0.0026893616,0.061187804,0.927735,a conscientious
Friendliness,Radiate joy,E,1,0.00031089783,0.00041532516,0.00091409683,0.0104599,0.9868167,a conscientious
Sympathy,Reassure others,A,1,0.008361816,0.033599854,0.0657959,0.20263684,0.6855473,a conscientious
Morality,Respect authority,A,1,0.010002136,0.031799316,0.109191895,0.22766119,0.6186525,a conscientious
Morality,Respect the privacy of others,A,1,0.08477789,0.14196783,0.23046881,0.14648443,0.39209008,a conscientious
Conscientiousness,Return borrowed items,C,1,0.38232458,0.29760754,0.093688965,0.16186535,0.05682379,a conscientious
Friendliness,Reveal little about yourself,E,-1,0.0073661804,0.004398346,0.0038814545,0.03302002,0.9497075,a conscientious
Dutifulness,Say inappropriate things,C,-1,0.0011167526,0.0010910034,0.0011882782,0.010108948,0.98388886,a conscientious
Morality,Scheme against others,A,-1,0.0009560585,0.0009121895,0.0009860992,0.008651733,0.9848649,a conscientious
Orderliness,See that rules are observed,C,1,0.15673834,0.23156744,0.17211914,0.2504884,0.18615729,a conscientious
Cooperation,Seek conflict,A,-1,0.00094747543,0.0013999939,0.0017156601,0.017059326,0.97607505,a conscientious
Intellect,Show a mastery of language,O,1,0.0036563873,0.007385254,0.010414124,0.05206299,0.9228521,a conscientious
Introspection/Private Self-Consciousness,Spend time reflecting on things,N,1,0.09991461,0.3127442,0.1673584,0.23596203,0.18090826,a conscientious
Dutifulness,Stick to the rules,C,1,0.06378174,0.11187744,0.12097168,0.36694348,0.33398443,a conscientious
Assertiveness,Stick up for yourself,E,1,0.008323669,0.022613525,0.033416748,0.18359381,0.74902374,a conscientious
Sympathy,Take an interest in other people's lives,A,1,0.007507324,0.015167236,0.03262329,0.19970709,0.7421878,a conscientious
Orderliness,Take good care of your belongings,C,1,0.27539074,0.33227545,0.15698242,0.13854986,0.092285216,a conscientious
Cautiousness,Take precautions,C,1,0.3417971,0.21057135,0.038330078,0.3872074,0.016235352,a conscientious
Conscientiousness,Take tasks too lightly,C,-1,0.002357483,0.0012521744,0.0013017654,0.026977539,0.9663096,a conscientious
Cooperation,Tell tall stories about yourself,A,-1,0.0010967255,0.0010223389,0.0012626648,0.012550354,0.98144656,a conscientious
Cautiousness,Tend to dislike impulsive people,C,1,0.03439331,0.032806396,0.038360596,0.25415045,0.6391603,a conscientious
Sympathy,Tend to dislike soft-hearted people,A,-1,0.0039749146,0.0039749146,0.0069732666,0.025909424,0.95703167,a conscientious
Cooperation,Think too highly of yourself,A,-1,0.0012645721,0.0011329651,0.002084732,0.0181427,0.9755868,a conscientious
Sympathy,Try not to think about the needy,A,-1,0.009468079,0.010398865,0.014213562,0.09716803,0.8657231,a conscientious
Morality,Try to follow the rules,A,1,0.15063483,0.22961432,0.13085938,0.3613283,0.124816954,a conscientious
Assertiveness,Try to lead others,E,1,0.007873535,0.025421143,0.04901123,0.19384772,0.72021526,a conscientious
Intellect,Try to understand yourself,O,1,0.03326416,0.14904785,0.17700195,0.18554693,0.45214868,a conscientious
Morality,Turn your back on others,A,-1,0.0016956329,0.0017089844,0.0016956329,0.010719299,0.9799821,a conscientious
Assertiveness,Turn plans into actions,E,1,0.87451345,0.09967047,0.0045166016,0.017059326,0.001537323,a conscientious
Intellect,Use difficult words,O,1,0.0022945404,0.0038719177,0.0069007874,0.05178833,0.9326176,a conscientious
Cooperation,Value cooperation over competition,A,1,0.004180908,0.0055389404,0.008850098,0.11840826,0.86132836,a conscientious
Introspection/Private Self-Consciousness,Want to be left alone,N,1,0.0036754608,0.004299164,0.0050239563,0.04208374,0.94287145,a conscientious
Friendliness,Warm up quickly to others,E,1,0.00381279,0.0059051514,0.011749268,0.12634283,0.84960973,a conscientious
Orderliness,Work according to a routine,C,1,0.26245135,0.4001466,0.039611816,0.25439477,0.040893555,a conscientious
Morality,Would never cheat on your taxes,A,1,0.7016609,0.09063721,0.04147339,0.05581665,0.10595709,a conscientious
Neuroticism,Are a person whose moods go up and down easily,N,1,0.00074625015,0.00078201294,0.0011930466,0.023956299,0.97216874,a conscientious
Anger,Are a person whose moods go up and down easily,N,1,0.00074625015,0.00078201294,0.0011930466,0.023956299,0.97216874,a conscientious
Neuroticism,Are afraid of many things,N,1,0.0011558533,0.0009965897,0.0012025833,0.014419556,0.97998184,a conscientious
Anxiety,Are afraid of many things,N,1,0.0011558533,0.0009965897,0.0012025833,0.014419556,0.97998184,a conscientious
Neuroticism,Are easily discouraged,N,1,0.0011301041,0.0007648468,0.0007529259,0.007545471,0.9882825,a conscientious
Anxiety,Are easily discouraged,N,1,0.0011301041,0.0007648468,0.0007529259,0.007545471,0.9882825,a conscientious
Neuroticism,Are filled with doubts about things,N,1,0.0023326874,0.0015058517,0.0020275116,0.036499023,0.95605534,a conscientious
Anxiety,Are filled with doubts about things,N,1,0.0023326874,0.0015058517,0.0020275116,0.036499023,0.95605534,a conscientious
Neuroticism,Are not easily annoyed,N,-1,0.0047073364,0.00299263,0.005420685,0.14196777,0.8432619,a conscientious
Anger,Are not easily annoyed,N,-1,0.004638672,0.0029468536,0.005420685,0.14196777,0.8432619,a conscientious
Neuroticism,Are not embarrassed easily,N,-1,0.028274536,0.0234375,0.031051636,0.20898443,0.70703137,a conscientious
Anxiety,Are not embarrassed easily,N,-1,0.028274536,0.0234375,0.031051636,0.20898443,0.70703137,a conscientious
Intellectual Openness,Are quick to understand things,O,1,0.002319336,0.004470825,0.010559082,0.14135748,0.8388675,a conscientious
Intellect,Are quick to understand things,O,1,0.002319336,0.004470825,0.010559082,0.14135748,0.8388675,a conscientious
Assertiveness,Are the first to act,E,1,0.0011796951,0.003578186,0.007003784,0.09667975,0.8891605,a conscientious
Intellectual Openness,Avoid difficult reading material,O,-1,0.0035896301,0.0036449432,0.0031433105,0.02268982,0.9643561,a conscientious
Intellectual Openness,Avoid philosophical discussions,O,-1,0.009841919,0.008956909,0.010314941,0.055755615,0.9135744,a conscientious
Intellect,Avoid philosophical discussions,O,-1,0.009841919,0.008956909,0.010314941,0.055755615,0.9135744,a conscientious
Neuroticism,Become overwhelmed by events,N,1,0.0020751953,0.0017471313,0.0018453598,0.02909851,0.9633795,a conscientious
Anxiety,Become overwhelmed by events,N,1,0.0020751953,0.0017471313,0.0018453598,0.02909851,0.9633795,a conscientious
Intellectual Openness,Believe in the importance of art,O,1,0.0027561188,0.008422852,0.026763916,0.11273199,0.84570354,a conscientious
Neuroticism,Can be stirred up easily,N,1,0.0014562607,0.0013580322,0.0011892319,0.025421143,0.9687505,a conscientious
Anger,Can be stirred up easily,N,1,0.0014562607,0.0013580322,0.0011892319,0.025421143,0.9687505,a conscientious
Intellectual Openness,Can handle a lot of information,O,1,0.09136963,0.26025397,0.09729004,0.2192384,0.32910168,a conscientious
Intellect,Can handle a lot of information,O,1,0.09136963,0.26025397,0.09729004,0.2192384,0.32910168,a conscientious
Assertiveness,Can talk others into doing things,E,1,0.0021896362,0.0047836304,0.008659363,0.11236578,0.8701175,a conscientious
Neuroticism,Change your mood a lot,N,1,0.0008339882,0.00094509125,0.0011663437,0.02218628,0.9736336,a conscientious
Anger,Change your mood a lot,N,1,0.0008339882,0.00094509125,0.0011663437,0.02218628,0.9736336,a conscientious
Assertiveness,Do not have an assertive personality,E,-1,0.008453369,0.005290985,0.003932953,0.04864502,0.93212926,a conscientious
Intellectual Openness,Do not like poetry,O,-1,0.0033607483,0.0036334991,0.009422302,0.020584106,0.9609378,a conscientious
Intellectual Openness,Enjoy the beauty of nature,O,1,0.0010738373,0.0021018982,0.0064735413,0.027679443,0.9609379,a conscientious
Neuroticism,Feel comfortable with yourself,N,-1,0.0042495728,0.0076942444,0.013504028,0.14978033,0.822266,a conscientious
Anxiety,Feel comfortable with yourself,N,-1,0.0042495728,0.0076942444,0.013504028,0.14978033,0.822266,a conscientious
Neuroticism,Feel threatened easily,N,1,0.0011453629,0.0012187958,0.0015525818,0.016311646,0.9780279,a conscientious
Intellectual Openness,Formulate ideas clearly,O,1,0.10131842,0.29321295,0.21789551,0.1363526,0.24694836,a conscientious
Intellect,Formulate ideas clearly,O,1,0.10131842,0.29321295,0.21789551,0.1363526,0.24694836,a conscientious
Neuroticism,Get angry easily,N,1,0.0004849434,0.00065755844,0.00096416473,0.010284424,0.98584074,a conscientious
Anger,Get angry easily,N,1,0.0004849434,0.00065755844,0.00096416473,0.010284424,0.98584074,a conscientious
Intellectual Openness,Get deeply immersed in music,O,1,0.00093126297,0.0024147034,0.006263733,0.028961182,0.9594731,a conscientious
Neuroticism,Get easily agitated,N,1,0.00066661835,0.00074338913,0.00093984604,0.011817932,0.9833995,a conscientious
Anger,Get easily agitated,N,1,0.00066661835,0.00074338913,0.00093984604,0.011817932,0.9833995,a conscientious
Neuroticism,Get upset easily,N,1,0.00066185,0.00071048737,0.00091934204,0.010772705,0.9848644,a conscientious
Anger,Get upset easily,N,1,0.00066185,0.00071048737,0.00091934204,0.010772705,0.9848644,a conscientious
Intellectual Openness,Have a rich vocabulary,O,1,0.004634857,0.012397766,0.027511597,0.11053473,0.8427737,a conscientious
Assertiveness,Have a strong personality,E,1,0.03289795,0.12414551,0.10620117,0.25073254,0.48339862,a conscientious
Intellectual Openness,Have difficulty understanding abstract ideas,O,-1,0.0028133392,0.0022087097,0.002090454,0.019836426,0.9707037,a conscientious
Assertiveness,Hold back your opinions,E,-1,0.002872467,0.0029621124,0.003686905,0.042877197,0.9458014,a conscientious
Neuroticism,Keep your emotions under control,N,-1,0.0143966675,0.028625488,0.031433105,0.20825201,0.7153322,a conscientious
Anger,Keep your emotions under control,N,-1,0.0143966675,0.028625488,0.031433105,0.20825201,0.7153322,a conscientious
Orderliness,Keep things tidy,C,1,0.08166504,0.20202643,0.08691406,0.32788098,0.2985841,a conscientious
Assertiveness,Know how to captivate people,E,1,0.001709938,0.0036773682,0.0062561035,0.057525635,0.92822313,a conscientious
Assertiveness,Lack the talent for influencing people,E,-1,0.0053520203,0.0030269623,0.0027980804,0.0124435425,0.97363377,a conscientious
Intellectual Openness,Learn things slowly,O,-1,0.0019931793,0.0017318726,0.0017318726,0.023162842,0.9697271,a conscientious
Intellect,Learn things slowly,O,-1,0.0019931793,0.0017318726,0.0017318726,0.023162842,0.9697271,a conscientious
Intellectual Openness,Like to solve complex problems,O,1,0.044952393,0.13635254,0.08532715,0.23925793,0.49096704,a conscientious
Intellect,Like to solve complex problems,O,1,0.044952393,0.13635254,0.08532715,0.23925793,0.49096704,a conscientious
Intellectual Openness,Love to reflect on things,O,1,0.002922058,0.005290985,0.013511658,0.08538824,0.8896488,a conscientious
Intellectual Openness,Need a creative outlet,O,1,0.003030777,0.0060272217,0.013793945,0.10852051,0.86718774,a conscientious
Neuroticism,Rarely feel depressed,N,-1,0.03062439,0.021377563,0.022766113,0.15795898,0.7656251,a conscientious
Anxiety,Rarely feel depressed,N,-1,0.03062439,0.021377563,0.022766113,0.15795898,0.7656251,a conscientious
Neuroticism,Rarely get irritated,N,-1,0.0036792755,0.0031471252,0.0056991577,0.11273193,0.87255883,a conscientious
Anger,Rarely get irritated,N,-1,0.0036792755,0.0031471252,0.0056991577,0.11273193,0.87255883,a conscientious
